,normalized_query,product_brand,facetdata,similar_brands_boosted_preprod,similar_brands_other_preprod,similar_brands_boosted_json,bffpreprod_jaccard,similar_brands,bfffacet_jaccard
0,nike shoe,"['adidas originals', 'adidas originals', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'adidas', 'puma', 'fila', 'fila', 'puma', 'fila', 'puma', 'fila', 'fila', 'puma', 'adidas', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'fila', 'fila', 'adidas']","['adidas originals', 'adidas', 'san frissco', 'woodland', 'woods', 'franco leone', 'k-swiss', 'puma', 'new balance', 'bugatti', 'reebok', 'metro', 'id', 'gen x', 'palladium', 'anta', 'mochi', 'j. fontini', 'red chief', 'walkway', 'furo by red chief', 'reebok classics', 'da vinchi', 'xtep', 'soleplay', 'giorgio', 'alberto torresi', 'fila']","['fila', 'adidas', 'puma', 'xtep', 'anta']","['reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']","['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta']",0.09302325581395349,"['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta', 'reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']",0.7
1,nike shoe,"['adidas originals', 'adidas originals', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'adidas', 'puma', 'fila', 'fila', 'puma', 'fila', 'puma', 'fila', 'fila', 'puma', 'adidas', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'fila', 'fila', 'adidas']","['adidas originals', 'adidas', 'san frissco', 'woodland', 'woods', 'franco leone', 'k-swiss', 'puma', 'new balance', 'bugatti', 'reebok', 'metro', 'id', 'gen x', 'palladium', 'anta', 'mochi', 'j. fontini', 'red chief', 'walkway', 'furo by red chief', 'reebok classics', 'da vinchi', 'xtep', 'soleplay', 'giorgio', 'alberto torresi', 'fila']","['fila', 'adidas', 'puma', 'xtep', 'anta']","['reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']","['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta']",0.09302325581395349,"['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta', 'reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']",0.7
2,nike shoe,"['adidas originals', 'adidas originals', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'adidas', 'puma', 'fila', 'fila', 'puma', 'fila', 'puma', 'fila', 'fila', 'puma', 'adidas', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'fila', 'fila', 'adidas']","['adidas originals', 'adidas', 'san frissco', 'woodland', 'woods', 'franco leone', 'k-swiss', 'puma', 'new balance', 'bugatti', 'reebok', 'metro', 'id', 'gen x', 'palladium', 'anta', 'mochi', 'j. fontini', 'red chief', 'walkway', 'furo by red chief', 'reebok classics', 'da vinchi', 'xtep', 'soleplay', 'giorgio', 'alberto torresi', 'fila']","['fila', 'adidas', 'puma', 'xtep', 'anta']","['reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']","['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta']",0.09302325581395349,"['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta', 'reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']",0.7
3,nike shoe,"['adidas originals', 'adidas originals', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'adidas', 'puma', 'fila', 'fila', 'puma', 'fila', 'puma', 'fila', 'fila', 'puma', 'adidas', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'fila', 'fila', 'adidas']","['adidas originals', 'adidas', 'san frissco', 'woodland', 'woods', 'franco leone', 'k-swiss', 'puma', 'new balance', 'bugatti', 'reebok', 'metro', 'id', 'gen x', 'palladium', 'anta', 'mochi', 'j. fontini', 'red chief', 'walkway', 'furo by red chief', 'reebok classics', 'da vinchi', 'xtep', 'soleplay', 'giorgio', 'alberto torresi', 'fila']","['fila', 'adidas', 'puma', 'xtep', 'anta']","['reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']","['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta']",0.09302325581395349,"['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta', 'reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']",0.7
4,nike shoe,"['adidas originals', 'adidas originals', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'adidas', 'puma', 'fila', 'fila', 'puma', 'fila', 'puma', 'fila', 'fila', 'puma', 'adidas', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'fila', 'fila', 'adidas']","['adidas originals', 'adidas', 'san frissco', 'woodland', 'woods', 'franco leone', 'k-swiss', 'puma', 'new balance', 'bugatti', 'reebok', 'metro', 'id', 'gen x', 'palladium', 'anta', 'mochi', 'j. fontini', 'red chief', 'walkway', 'furo by red chief', 'reebok classics', 'da vinchi', 'xtep', 'soleplay', 'giorgio', 'alberto torresi', 'fila']","['fila', 'adidas', 'puma', 'xtep', 'anta']","['reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']","['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta']",0.09302325581395349,"['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta', 'reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']",0.7
5,nike shoe,"['adidas originals', 'adidas originals', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'adidas', 'puma', 'fila', 'fila', 'puma', 'fila', 'puma', 'fila', 'fila', 'puma', 'adidas', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'fila', 'fila', 'adidas']","['adidas originals', 'adidas', 'san frissco', 'woodland', 'woods', 'franco leone', 'k-swiss', 'puma', 'new balance', 'bugatti', 'reebok', 'metro', 'id', 'gen x', 'palladium', 'anta', 'mochi', 'j. fontini', 'red chief', 'walkway', 'furo by red chief', 'reebok classics', 'da vinchi', 'xtep', 'soleplay', 'giorgio', 'alberto torresi', 'fila']","['fila', 'adidas', 'puma', 'xtep', 'anta']","['reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']","['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta']",0.09302325581395349,"['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta', 'reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']",0.7
6,nike shoe,"['adidas originals', 'adidas originals', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'adidas', 'puma', 'fila', 'fila', 'puma', 'fila', 'puma', 'fila', 'fila', 'puma', 'adidas', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'fila', 'fila', 'adidas']","['adidas originals', 'adidas', 'san frissco', 'woodland', 'woods', 'franco leone', 'k-swiss', 'puma', 'new balance', 'bugatti', 'reebok', 'metro', 'id', 'gen x', 'palladium', 'anta', 'mochi', 'j. fontini', 'red chief', 'walkway', 'furo by red chief', 'reebok classics', 'da vinchi', 'xtep', 'soleplay', 'giorgio', 'alberto torresi', 'fila']","['fila', 'adidas', 'puma', 'xtep', 'anta']","['reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']","['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta']",0.09302325581395349,"['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta', 'reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']",0.7
7,nike shoe,"['adidas originals', 'adidas originals', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'adidas', 'puma', 'fila', 'fila', 'puma', 'fila', 'puma', 'fila', 'fila', 'puma', 'adidas', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'fila', 'fila', 'adidas']","['adidas originals', 'adidas', 'san frissco', 'woodland', 'woods', 'franco leone', 'k-swiss', 'puma', 'new balance', 'bugatti', 'reebok', 'metro', 'id', 'gen x', 'palladium', 'anta', 'mochi', 'j. fontini', 'red chief', 'walkway', 'furo by red chief', 'reebok classics', 'da vinchi', 'xtep', 'soleplay', 'giorgio', 'alberto torresi', 'fila']","['fila', 'adidas', 'puma', 'xtep', 'anta']","['reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']","['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta']",0.09302325581395349,"['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta', 'reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']",0.7
8,nike shoe,"['adidas originals', 'adidas originals', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'puma', 'puma', 'adidas', 'puma', 'adidas', 'adidas', 'puma', 'fila', 'fila', 'puma', 'fila', 'puma', 'fila', 'fila', 'puma', 'adidas', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'fila', 'fila', 'adidas']","['adidas originals', 'adidas', 'san frissco', 'woodland', 'woods', 'franco leone', 'k-swiss', 'puma', 'new balance', 'bugatti', 'reebok', 'metro', 'id', 'gen x', 'palladium', 'anta', 'mochi', 'j. fontini', 'red chief', 'walkway', 'furo by red chief', 'reebok classics', 'da vinchi', 'xtep', 'soleplay', 'giorgio', 'alberto torresi', 'fila']","['fila', 'adidas', 'puma', 'xtep', 'anta']","['reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']","['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta']",0.09302325581395349,"['adidas', 'fila', 'adidas originals', 'puma', 'adidas kids', 'xtep', 'anta', 'reebok classics', 'palladium', 'red chief', 'bugatti', 'new balance', 'franco leone', 'giorgio', 'mochi', 'metro', 'k-swiss', 'id', 'woodland', 'soleplay', 'san frissco', 'alberto torresi', 'nike']",0.7
9,nike shoe men,"['adidas originals', 'adidas originals', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'adidas', 'puma', 'puma', 'puma', 'adidas', 'adidas', 'puma', 'fila', 'fila', 'fila', 'puma', 'fila', 'adidas', 'puma', 'adidas', 'puma', 'puma', 'puma', 'fila', 'fila', 'adidas', 'puma', 'puma', 'fila', 'fila', 'puma', 'puma', 'puma', 'puma', 'fila', 'adidas', 'adidas', 'adidas']","['adidas originals', 'adidas', 'san frissco', 'woodland', 'liberty', 'woods', 'puma', 'new balance', 'bugatti', 'reebok', 'metro', 'id', 'gen x', 'palladium', 'anta', 'mochi', 'j. fontini', 'buckaroo', 'healers', 'red chief', 'walkway', 'furo by red chief', 'reebok classics', 'da vinchi', 'soleplay', 'giorgio', 'gliders', 'force 10', 'alberto torresi', 'fila']","['fila', 'adidas', 'puma', 'palladium', 'anta']","['reebok classics', 'mochi', 'bugatti', 'new balance', 'metro', 'giorgio', 'woodland', 'id', 'soleplay', 'red chief', 'san frissco', 'alberto torresi', 'woods', 'liberty', 'buckaroo', 'nike']","['adidas', 'fila', 'palladium', 'puma', 'adidas originals', 'adidas kids', 'anta']",0.09302325581395349,"['adidas', 'fila', 'palladium', 'puma', 'adidas originals', 'adidas kids', 'anta', 'reebok classics', 'mochi', 'bugatti', 'new balance', 'metro', 'giorgio', 'woodland', 'id', 'soleplay', 'red chief', 'san frissco', 'alberto torresi', 'woods', 'liberty', 'buckaroo', 'nike']",0.65625
